country,total_earnings,total_players,year,iso,code,pbicap,internet,desempleo,elect_acc,movil,poblacion,pea,net_mig,life_exp,CPI,gdp_gr,inflacion
Belgium,756.97,2,2001-01-01,BE,056,23015.0712632462,31.28839551,6.18,100.0,74.66106187,10286570.0,6743920.0,35439.0,77.9731707317073,,0.752482909593709,1.98280272084908
Switzerland,625.0,1,2001-01-01,CH,756,39638.7911061864,55.1,2.49,100.0,73.02736295,7229854.0,4877527.0,35173.0,80.1804878048781,,0.934949653145424,0.974383320001323
Malaysia,150.0,1,2001-01-01,MY,458,3941.12266621369,26.6959725,3.53,98.6218643188477,31.36877845,23542517.0,14728768.0,198361.0,73.344,,-2.0328566461191,-1.58187391181744
Ireland,131.97,1,2001-01-01,IE,372,28282.409882073,23.13881219,3.68,100.0,77.56557948,3866243.0,2609285.0,39480.0,77.1341463414634,,3.64246999666096,6.85968606093488
Greece,75.0,1,2001-01-01,GR,300,12549.036894906,10.93502581,10.76,100.0,71.92567824,10862132.0,7407059.0,24607.0,78.3878048780488,,3.5916527118378,3.47475258358807
Lithuania,50.0,1,2001-01-01,LT,440,3525.79363185461,7.179356994,16.84,99.4562225341797,28.59433697,3470818.0,2305770.0,-33177.0,71.6585365853659,,7.40751979624903,-0.32181060141184
"Korea, Republic of",188213.44,49,2002-01-01,KR,0,13165.08362497,59.4,3.05,100.0,68.34749881,47644736.0,34143376.0,-13515.0,76.7658536585366,,7.10433310954843,3.03313964628073
United States,176229.3,183,2002-01-01,US,840,37997.7596573051,58.78540388,5.78,100.0,49.17630521,287625193.0,191479586.0,1168499.0,76.9365853658537,,0.756774050858581,1.55853138907887
Germany,121587.86,68,2002-01-01,DE,276,25197.2656001848,48.82,8.48,100.0,72.60008929,82488495.0,55661657.0,45985.0,78.2292682926829,,-0.365628327264105,1.37812582409744
Russian Federation,119991.22,45,2002-01-01,RU,643,2377.52954101563,4.128271818,7.88,97.8952178955078,12.12593129,145306497.0,102535245.0,289174.0,65.1287804878049,,5.18275023824988,15.6619063054593
Sweden,107162.58,68,2002-01-01,SE,752,29899.1952495081,70.57,4.97,100.0,89.05432796,8924958.0,5778058.0,31068.0,79.8463414634146,,1.86487397389017,1.54763939768029
Canada,63866.68,30,2002-01-01,CA,124,24255.3385818322,61.59329927,7.66,100.0,37.90258971,31360079.0,21558268.0,206028.0,79.5307317073171,,1.88526011914601,1.25752345524339
France,30619.97,16,2002-01-01,FR,250,24288.2700193508,30.18,8.7,100.0,64.98819173,61816234.0,40220123.0,137513.0,79.2609756097561,,0.401189128588285,2.0674257413845
Norway,28235.0,10,2002-01-01,NO,578,43170.557174499,72.84,4.02,100.0,83.50890769,4538159.0,2955266.0,17269.0,78.9878048780488,,0.832308716578552,-1.52020671606276
Japan,26500.0,4,2002-01-01,JP,392,32820.7936433254,46.59420112,5.39,100.0,63.72129527,127445000.0,85301311.0,102260.0,81.6907317073171,,-0.190392013612978,-1.39097861535799
United Kingdom,24886.7,10,2002-01-01,GB,826,30077.741432188,56.48,5.04,100.0,82.93728874,59370479.0,38933315.0,210510.0,78.1439024390244,,1.36197323998215,2.12273820234752
Netherlands,14083.33,8,2002-01-01,NL,528,29343.2449960602,61.29,2.55,100.0,75.3563546,16148929.0,10931210.0,14789.0,78.2926829268293,,-0.420367739940659,3.77054132736822
China,10400.0,7,2002-01-01,CN,156,1148.51425712598,4.595704331,4.24,97.2170181274414,16.08250443,1280400000.0,893626206.0,-477885.0,72.985,,8.40487997475978,0.602099076385315
Spain,10300.0,2,2002-01-01,ES,724,17106.686576658,20.39,11.15,100.0,80.84111071,41431558.0,28359843.0,741349.0,79.5682926829268,,1.28997718123523,4.08467462706628
